MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009110024030,13.24,0.05,311.04064,-10.72350,56588.14780,0
1009110024030,13.21,0.05,311.04064,-10.72349,56588.15387,0
1009110024030,13.21,0.05,311.04063,-10.72349,56588.15992,0
1009110024030,13.24,0.05,311.04063,-10.72349,56593.07263,0
1009110024030,13.24,0.05,311.04062,-10.72350,56593.07717,0
1009110024030,13.24,0.05,311.04065,-10.72351,56593.08171,0
1009110024030,13.24,0.05,311.04063,-10.72351,56593.08624,0
2010284006258,13.19,0.05,311.04063,-10.72353,54389.10252,0
2010284006258,13.20,0.05,311.04063,-10.72355,54389.10994,0
2010284006258,13.19,0.05,311.04063,-10.72350,54389.11748,0
2010284006258,13.19,0.05,311.04064,-10.72357,54389.12494,0
2010284006258,13.21,0.05,311.04062,-10.72356,54399.15791,0
2010284006258,13.22,0.05,311.04065,-10.72354,54399.16508,0
2010284006258,13.23,0.05,311.04064,-10.72356,54399.17224,0
2010284006258,13.24,0.05,311.04064,-10.72353,54399.17944,0
2010284006258,12.96,0.05,311.04066,-10.72345,54802.05609,0
2010284006258,12.89,0.05,311.04064,-10.72348,54802.06044,0
2010284006258,12.92,0.05,311.04065,-10.72348,54802.06478,0
2010284006258,12.91,0.05,311.04065,-10.72346,54802.06906,0
2010284006258,13.05,0.05,311.04063,-10.72349,54617.43943,0
2010284006258,13.05,0.05,311.04063,-10.72354,54617.44597,0
2010284006258,13.06,0.05,311.04064,-10.72351,54617.45252,0
2010284006258,13.07,0.05,311.04064,-10.72354,54617.45909,0
2010284006258,12.96,0.05,311.04063,-10.72353,54770.10942,0
2010284006258,12.95,0.05,311.04065,-10.72356,54770.11597,0
2010284006258,12.95,0.05,311.04063,-10.72353,54770.12249,0
2010284006258,12.94,0.05,311.04064,-10.72347,54770.12902,0
2010284006258,12.83,0.05,311.04066,-10.72357,55383.43977,0
2010284006258,12.84,0.05,311.04064,-10.72357,55383.44685,0
2010284006258,12.85,0.05,311.04064,-10.72353,55383.45405,0
2010284006258,12.86,0.05,311.04066,-10.72354,55383.46130,0
2010284006258,12.88,0.05,311.04064,-10.72348,55720.41064,0
2010284006258,13.04,0.05,311.04061,-10.72350,56075.38903,0
2010284006258,13.03,0.05,311.04063,-10.72354,56075.39529,0
2010284006258,13.04,0.05,311.04062,-10.72349,56075.40161,0
2010284006258,13.04,0.05,311.04063,-10.72353,56075.40802,0
2010284006258,13.08,0.05,311.04063,-10.72349,56563.11215,0
2010284006258,13.09,0.05,311.04064,-10.72353,56563.11735,0
2010284006258,13.09,0.05,311.04064,-10.72353,56563.12263,0
